"state_abb","district","year","total_votes","dem","other","rep"
"AR",3,2012,257668,0.315960848844249,0.0293090333297111,0.65473011782604
"AR",3,2016,292163,0.304901715823017,0.0758514938578807,0.619246790319103
"AR",4,1992,232260,0.579919056230087,0.101941789373977,0.318139154395936
"AR",4,1996,211965,0.598664873917864,0.0898025617436841,0.311532564338452
"AR",4,2000,213303,0.502135459885703,0.0250394978035939,0.472825042310704
"AR",4,2000,232573,0.490809337283348,0.0261552286808873,0.483035434035765
"AR",4,2004,250139,0.475035880050692,0.0113536873498335,0.513610432599475
"AR",4,2008,251270,0.393329884188323,0.0252954988657619,0.581374616945915
"AR",4,2008,277039,0.373514198361963,0.0264006150758557,0.600085186562181
"AR",4,2012,265825,0.358822533621744,0.0229135709583373,0.618263895419919
"AR",4,2016,270782,0.313325848837811,0.0450842375047086,0.641589913657481
"AZ",1,1992,262174,0.336597069122033,0.259915170840739,0.403487760037227
"AZ",1,1996,237176,0.455623671872365,0.083005869059264,0.461370459068371
"AZ",1,2000,201919,0.455232048494693,0.0392781263774088,0.505489825127898
"AZ",1,2000,246934,0.441089521896539,0.0443721804206792,0.514538297682782
"AZ",1,2004,258620,0.45500348000928,0.0066738844636919,0.538322635527028
"AZ",1,2008,257373,0.478204784495654,0.0119942651327062,0.50980095037164
"AZ",1,2008,288846,0.442415681712747,0.0134881563185919,0.544096161968662
"AZ",1,2012,260077,0.478896634458257,0.0169642067541536,0.50413915878759
"AZ",1,2016,289086,0.459634849145237,0.0701659713718409,0.470199179482922
"AZ",2,1992,145112,0.514002977010861,0.198239980153261,0.287757042835878
"AZ",2,1996,128045,0.636502791987192,0.0835799914092702,0.279917216603538
"AZ",2,1996,128047,0.636500659913938,0.0835786859512523,0.27992065413481
"AZ",2,2000,126956,0.615717256372286,0.0454488169129462,0.338833926714767
"AZ",2,2000,211397,0.408004843966565,0.0272473119296868,0.564747844103748
"AZ",2,2004,296580,0.379728909569088,0.00550947467799582,0.614761615752917
"AZ",2,2008,308549,0.489050361530908,0.0127143500708153,0.498235288398277
"AZ",2,2008,364823,0.379019414894346,0.0161201459337816,0.604860439171872
"AZ",2,2012,299703,0.483698861873255,0.0169701337657614,0.499331004360984
"AZ",2,2016,321540,0.487267525035765,0.0736082602475586,0.439124214716676
"AZ",3,1992,269256,0.319621475473156,0.272439611373563,0.407938913153282
"AZ",3,1996,275684,0.412116771375923,0.111381146530085,0.476502082093992
"AZ",3,2000,209707,0.425870381055473,0.0292789463394164,0.544850672605111
"AZ",3,2000,317621,0.399690196806886,0.0412409758800583,0.559068827313056
"AZ",3,2004,260004,0.414920539684005,0.00619990461685205,0.578879555699143
"AZ",3,2008,176543,0.581926216275921,0.0109038591164759,0.407169924607603
"AZ",3,2008,289619,0.421229270179097,0.0169153266878209,0.561855403133082
"AZ",3,2012,177248,0.614404675934284,0.0161581512908467,0.369437172774869
"AZ",3,2016,211797,0.615995505129912,0.0631689778419902,0.320835517028098
"AZ",4,1992,276531,0.314330038946809,0.25560244601871,0.430067515034481
"AZ",4,1996,238096,0.436445803373429,0.080375142799543,0.483179053827028
"AZ",4,2000,91338,0.62622347763253,0.0284438021414964,0.345332720225974
"AZ",4,2000,232885,0.437812654314361,0.0396762350516349,0.522511110634004
"AZ",4,2004,116702,0.615285085088516,0.00796901509828452,0.376745899813199
"AZ",4,2008,132805,0.653702797334438,0.01792101201009,0.328376190655472
"AZ",4,2008,250940,0.343835179724237,0.0142544034430541,0.641910416832709
"AZ",4,2012,258046,0.310157878827806,0.0178921587623912,0.671949962409803
"AZ",4,2016,304185,0.270203987704851,0.0655850880220918,0.664210924273058
"AZ",5,1992,276712,0.41915782474197,0.203912370984995,0.376929804273035
"AZ",5,1996,267262,0.471821658148184,0.0909257582447187,0.437252583607097
"AZ",5,1996,267432,0.471865745310958,0.0909502228603907,0.437184031828652
"AZ",5,2000,226701,0.430540668104684,0.0336787221935501,0.535780609701766
"AZ",5,2000,293690,0.462947325411148,0.0495386291668085,0.487514045422044
"AZ",5,2004,282007,0.453219246330765,0.00574453825614258,0.541036215413093
"AZ",5,2008,286908,0.362834079217031,0.0110174690144576,0.626148451768511
"AZ",5,2008,298966,0.469240649438398,0.0165336526561549,0.514225697905447
"AZ",5,2012,293748,0.345571714530822,0.0167933058267631,0.637634979642415
"AZ",5,2016,341437,0.355204620471712,0.0841297223206624,0.560665657207625
"AZ",6,1992,239092,0.381639703545079,0.23575862011276,0.382601676342161
"AZ",6,1996,257460,0.465027577099355,0.0948691058805251,0.44010331702012
"AZ",6,1996,257967,0.465175778297224,0.0949346234208251,0.439889598281951
"AZ",6,2000,194313,0.371014806008862,0.0202868567723209,0.608698337218817
