year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party,writein,candidatevotes,totalvotes,version
2010,Alabama,AL,1,63,41,US House,2,gen,FALSE,Bobby Bright,democrat,FALSE,106865,219028,20171005
1984,Alabama,AL,1,63,41,US House,4,gen,FALSE,Tom Bevill,democrat,FALSE,120106,120106,20171005
2008,Alabama,AL,1,63,41,US House,1,gen,FALSE,Jo Bonner,republican,FALSE,210660,214367,20171005
1978,Alabama,AL,1,63,41,US House,7,gen,FALSE,Fulton Gray,conservative,FALSE,3285,82868,20171005
1998,Alabama,AL,1,63,41,US House,2,gen,FALSE,Terry Everett,republican,FALSE,131428,189669,20171005
1978,Alabama,AL,1,63,41,US House,3,gen,FALSE,,,TRUE,2,74897,20171005
1978,Alabama,AL,1,63,41,US House,2,gen,FALSE,Wendell Mitchell,democrat,FALSE,49341,107265,20171005
2004,Alabama,AL,1,63,41,US House,4,gen,FALSE,,,TRUE,336,255724,20171005
1992,Alabama,AL,1,63,41,US House,7,gen,FALSE,James M. Lewis,independent,FALSE,12461,207773,20171005
2016,Alabama,AL,1,63,41,US House,3,gen,FALSE,,,TRUE,391,287104,20171005
1988,Alabama,AL,1,63,41,US House,1,gen,FALSE,,,TRUE,37,194363,20171005
1988,Alabama,AL,1,63,41,US House,3,gen,FALSE,Jerome Shockley,libertarian,FALSE,4793,122310,20171005
1998,Alabama,AL,1,63,41,US House,5,gen,FALSE,Gil Aust,republican,FALSE,58536,193490,20171005
1994,Alabama,AL,1,63,41,US House,4,gen,FALSE,,,TRUE,1826,121262,20171005
1988,Alabama,AL,1,63,41,US House,5,gen,FALSE,,,TRUE,1,186623,20171005
2012,Alabama,AL,1,63,41,US House,4,gen,FALSE,Daniel H. Boman,democrat,FALSE,69706,269118,20171005
1992,Alabama,AL,1,63,41,US House,7,gen,FALSE,,,TRUE,140,207773,20171005
1992,Alabama,AL,1,63,41,US House,6,gen,FALSE,Ben Erdreich,democrat,FALSE,126062,280139,20171005
2004,Alabama,AL,1,63,41,US House,4,gen,FALSE,Robert B. Aderholt,republican,FALSE,191110,255724,20171005
1994,Alabama,AL,1,63,41,US House,5,gen,FALSE,,,TRUE,77,175693,20171005
1986,Alabama,AL,1,63,41,US House,3,gen,FALSE,White Guerin,republican,FALSE,27769,142896,20171005
1986,Alabama,AL,1,63,41,US House,3,gen,FALSE,Bill Nichols,democrat,FALSE,115127,142896,20171005
1984,Alabama,AL,1,63,41,US House,1,gen,FALSE,"H. L. \Sonny\"" Callahan""",republican,FALSE,102479,200934,20171005
1986,Alabama,AL,1,63,41,US House,2,gen,FALSE,Mercer Stone,democrat,FALSE,57568,172870,20171005
1986,Alabama,AL,1,63,41,US House,1,gen,FALSE,"H. L. \Sonny\"" Callahan""",republican,FALSE,96469,96469,20171005
1992,Alabama,AL,1,63,41,US House,2,gen,FALSE,Richard C. Boone,independent,FALSE,1330,228160,20171005
1996,Alabama,AL,1,63,41,US House,1,gen,FALSE,Don Womack,democrat,FALSE,69470,205417,20171005
2002,Alabama,AL,1,63,41,US House,2,gen,FALSE,Floyd Shackelford,libertarian,FALSE,2948,187965,20171005
1984,Alabama,AL,1,63,41,US House,7,gen,FALSE,"Charles \Chuck\"" Ewing""",libertarian,FALSE,4498,140332,20171005
2008,Alabama,AL,1,63,41,US House,2,gen,FALSE,,,TRUE,448,287394,20171005
1988,Alabama,AL,1,63,41,US House,5,gen,FALSE,John Palmer,libertarian,FALSE,1989,186623,20171005
1988,Alabama,AL,1,63,41,US House,6,gen,FALSE,Ben Erdreich,democrat,FALSE,138920,209026,20171005
2006,Alabama,AL,1,63,41,US House,4,gen,FALSE,Barbara Bobo,democrat,FALSE,54382,183072,20171005
2016,Alabama,AL,1,63,41,US House,2,gen,FALSE,Nathan Mathis,democrat,FALSE,112089,276584,20171005
2002,Alabama,AL,1,63,41,US House,5,gen,FALSE,,,TRUE,144,195171,20171005
1992,Alabama,AL,1,63,41,US House,1,gen,FALSE,,,TRUE,40,214204,20171005
1990,Alabama,AL,1,63,41,US House,3,gen,FALSE,Don Sledge,republican,FALSE,36317,138242,20171005
2012,Alabama,AL,1,63,41,US House,5,gen,FALSE,,,TRUE,336,291293,20171005
2000,Alabama,AL,1,63,41,US House,3,gen,FALSE,John Sophocleus,libertarian,FALSE,21119,169519,20171005
1978,Alabama,AL,1,63,41,US House,4,gen,FALSE,Tom Bevill,democrat,FALSE,87380,87381,20171005
2008,Alabama,AL,1,63,41,US House,5,gen,FALSE,,,TRUE,1644,307282,20171005
1978,Alabama,AL,1,63,41,US House,5,gen,FALSE,Harvey Nicholas Crumhorn,libertarian,FALSE,2250,71236,20171005
